ticked player with td=0.015626, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
ticked player with td=0.0, pos is now [0.07813, 0.0]
